ForingNE,NForingNE,ForingSW,NForingSW,MotspillNE,NMotspillNE,MotspillSW,NMotspillSW,AntallPar,Ar,Maned,Dato,Turnering
7,5,11,6,12,5,-11.9,8,17,2019,6,11,Sommerbridge Bridgehuset
8,4,1,6,2,3,1,8,11,2019,6,17,Sommerbridge Melhus BK
3,6,2,8,0,4,8,3,9,2019,6,24,Sommerbridge Melhus BK
