ForingNE,NForingNE,ForingSW,NForingSW,MotspillNE,NMotspillNE,MotspillSW,NMotspillSW,AntallPar,Ar,Maned,Dato,Turnering
3,8,-2,8,-2,6,-1,6,8,2019,1,7,Melhus BK
4,11,3,4,-2,4,0,8,10,2019,1,14,Melhus BK
3,4,-7,6,14,8,7,9,10,2019,1,21,Melhus BK
4,11,-2,1,16,8,-3,7,10,2019,1,28,Melhus BK
2,4,1,5,-8,7,-14,9,10,2019,2,4,Melhus BK
4,3,2,8,-1,6,-6,6,9,2019,2,11,Melhus BK
4,8,7,5,10,8,1,6,10,2019,2,25,Melhus BK
10,10,0,0,5,3,0,11,9,2019,3,4,Melhus BK
-6,4,4,6,5,6,-4,8,9,2019,3,18,Melhus BK
